25;Male Thief Bug#Medium
27;Creamy#Small
28;Poison Spore#Medium
29;Steel Chonchon#Small
30;Drainliar#Small
31;Coco#Small
32;Dustiness#Small
32;Smokie#Small
33;Rhoda Frog#Medium
33;Rocker#Medium
34;Caramel#Small
34;Dead Plankton#Small
35;Zombie#Medium
35;Kukre#Small
36;Horn#Medium
36;Hydra#Small
37;Yoyo#Small
37;Martin#Small
38;Giearth#Small
38;Axe-wielding Skel Pirate#Medium
39;Pirate Skeleton#Medium
39;Dagger-wielding Skel Pirate#Medium
40;Hunter Fly#Small
40;Skeleton Worker#Medium
41;Myst#Large
41;Whisper#Small
42;Argos#Large
42;Muka#Large
43;Pecopeco#Large
43;Mantis#Medium
44;Savage#Large
44;Metaller#Medium
45;Anacondaq#Medium
45;Flora#Large
46;Sasquatch#Large
46;Scorpion#Small
47;Golem#Large
47;Side Winder#Medium
48;Magnolia#Small
48;Ant Larva#Small
49;Hode#Medium
49;Matyr#Medium
50;Desert Wolf#Medium
50;Andre#Small
51;Piere#Small
51;Soldier Skeleton#Medium
52;Vadon#Small
52;Argiope#Large
53;Marina#Small
53;Archer Skeleton#Medium
54;Frilldora#Medium
54;Deniro#Small
55;Cornutus#Small
55;Vitata#Small
56;Phen#Medium
56;Mummy#Medium
57;Verit#Medium
57;Marduk#Large
58;Marine Sphere#Small
58;Isis#Large
59;Swordfish#Large
59;Minorous#Large
60;Marse#Small
60;Zerom#Medium
61;Obeaune#Medium
61;Arclouze#Small
62;Wormtail#Medium
62;Requiem#Medium
63;Bigfoot#Large
63;Snake#Medium
64;Wolf#Medium
64;Pasana#Large
65;Skeleton#Medium
65;Anubis#Large
66;Elder Willow#Large
66;Munak#Medium
67;Marc#Small
67;Bongun#Medium
68;Dokebi#Small
68;Greatest General#Large
69;Deviace#Small
69;Sohee#Medium
70;Eggyra#Medium
70;Nine tail#Small
71;Horong#Small
71;Flail-wielding Goblin#Medium
72;Orc Zombie#Large
72;Orc Baby#Small
73;Mace-wielding Goblin#Medium
73;Mace-wielding Kobold#Medium
74;Jakk#Small
74;Skeleton General#Medium
75;Hammer-wielding Goblin#Medium
75;Orc Warrior#Large
76;Orc Skeleton#Large
76;Hammer-wielding Kobold#Medium
77;Ghoul#Medium
77;Axe-wielding Goblin#Medium
78;Marionette#Small
79;Ground Petite#Medium
79;Dagger-wielding Goblin#Medium
80;Sky Petite#Large
80;Bapho Jr.#Small
81;Carat#Medium
81;Goblin Archer#Small
82;Kobold Archer#Small
82;Raydric#Large
83;Orc Lady#Medium
83;Deviruchi#Small
84;Zenorc#Medium
84;Bloody Knight#Large
85;Goblin Steamrider#Medium
85;Axe-wielding Kobold#Medium
86;High Orc#Large
86;Majorous#Large
87;Nightmare#Large
87;Sageworm#Small
88;Orc Archer#Medium
88;Rotar Zairo#Large
89;Wind Ghost#Medium
90;Rybio#Large
90;Wraith#Large
91;Sting#Medium
92;Injustice#Medium
93;Skeleton Prisoner#Medium
94;Abysmal Knight#Large
95;Raydric Archer#Medium
